,title,alias
3487,Серп. Захватчики из далеких земель,scythe-invaders-from-afar
11863,Мортум. Средневековый детектив,mortum-srednevekovy-detektiv
15039,Русские железные дороги,Russian-Railroads
17583,Бухта торговцев,merchants-cove
891,Сундук приключений,dungeon-roll
15587,Империал 2030,Imperial-2030
11923,Fallout: Атомные узы,fallout-atomic-bonds
7440,Мор. Утопия,pathologic
7449,Находка для шпиона,spyfall
4330,Galaxy Defenders,Galaxy-Defenders
3962,XCOM: The Board Game,XCOM-The-Board-Game
16035,Восьмиминутная империя: Легенды,Eight-Minute-Empire-Legends
3519,Киклады. Монументы,cyclades-monuments
14250,Голем,golem
3314,Серп. Небесный гамбит,scythe-the-wind-gambit
13739,Android,Android
5072,Рутения,ruthenia
10289,Сопротивление,the-resistance
2572,Titans,titans
16065,Индиго,indigo
12693,Андор. Легенда третья: Последняя надежда,legends-andor-last-hope
13840,Таверна «Красный Дракон»,the-red-dragon-inn
15919,Котомоции,catmotions
14200,Халлертау,hallertau
14555,Рейкхольт,reykholt
588,Индейцы,indeytsy
1040,Затерянные города,lost-cities
5158,Шахматы,chess
15668,Королевская почта,thurn-and-taxis
11986,Divinity Original Sin: the Board Game,divinity-original-sin-the-board-game
13746,Formula D,Formula-D
14696,Pax Renaissance,pax-renaissance
4257,Цивилизация. Мудрость и война,Sid-Meiers-Civilization-Wisdom-Warfare
13031,Древний ужас. Хребты безумия,Eldritch-Horror-Mountains-of-Madness
6052,Техену. Обелиск Солнца,tekhenu-obelisk-of-the-sun
5081,Dominant Species,Dominant-Species
491,Хитрый ход,ganz-schn-clever
935,Пираты 7 морей,Pirates-of-the-7-Seas
12279,Остров сокровищ: Тайна Джона Сильвера,treasure-island
2555,Уотергейт,wtrgate
8050,Среди звёзд,among-the-stars
17425,Амулет,amulet
14109,7 Чудес (Второе издание),7-wonders-second-edition
3160,Остров духов. Ветви и когти,Spirit-Island-Branch-and-Claw
7541,Древний мир,The-Ancient-World
13839,Descent: Journeys in the Dark,Descent-Journeys-in-the-Dark
5206,Кондотьер,Condottiere
13411,Relic,Relic
14201,Покорение Марса: Большая коробка,terraforming-mars-big-box
11680,Фототур,fototur
842,Повелитель Нью-Йорка,King-of-New-York
8823,За бортом!,lifeboat
14435,Таверны Тифенталя,Die-Tavernen-im-Tiefen-Thal
4656,Битва Легенд. Воскрешённые,Bitva-Legend
13302,Firefly: The Game,Firefly-The-Game
294,Орифламма,oriflamme
2342,Zerywia,zerywia
11928,Особняки безумия. За порогом,osobnyaki-bezumiya-za-porogom
17643,Abyss,Abyss
15284,Прет-а-Порте,Pret-a-Porter
1448,The Elder Scrolls V: Skyrim – The Adventure Game,the-elder-scrolls-v-skyrim-the-boardgame
14141,1861/1867,1861-1867
8767,Jaipur,jaipur
4037,Повелители звезд,poveliteli-zvezd
12649,Крути педали,flamme-rouge
8638,Sobek,sobek
522,Чёрный ангел,black-angel
8720,51st State,51st-State
13835,Манчкин Квест,munchkin-quest
661,Предельное погружение,deep-sea-adventure
675,Bios: Genesis,bios-genesis
1931,Kingdoms Forlorn,kingdoms-forlorn
4967,Labyrinth: The War on Terror,Labyrinth-The-War-on-Terror
15612,Dungeon Lords,dungeon-lords
3079,Zombicide: Invader,zombicide-invader
13217,The Witcher: Adventure Game,The-Witcher-Adventure-Game
13187,Робинзон Крузо. Путешествие «Бигля»,Robinson-Crusoe-Voyage-of-the-Beagle
12278,Робинзон Крузо: Приключения на таинственном острове. Вторая редакция - В поисках затерянного города,robinson-crusoe-adventures-cursed-island-mystery-tales
14351,Тайная власть. Новый мировой порядок,deep-state-new-world-order
424,Вальхалла,valhalla
4457,DreadBall,dreadball
9441,Жадюги,Gold-Fever
4751,Траян,Trajan
9420,Судный день,human-punishment
10802,Exit: Квест – Заброшенный дом,Abandoned-Cabin
3973,Hyperborea,Hyperborea
12184,Зомби в школе,Zombie-Kidz-Evolution
10292,Диксит,dixit
3719,Война Кольца: Воины Средиземья,War-of-the-Ring-Warriors-of-Middle-earth
1455,Total War: ROME – The Board Game,total-war-rome
3928,Space Hulk (fourth edition),space-hulk-fourth-edition
13412,Castaways,castaways
6981,Канагава,Kanagawa
